Time,Demand,Temperature,Date,Holiday
2012-01-01T13:00:00Z,4367.914468,21.6,2012-01-02,True
2012-01-01T13:30:00Z,4164.015958,21.4,2012-01-02,True
2012-01-01T14:00:00Z,3898.239882,21.2,2012-01-02,True
2012-01-01T14:30:00Z,3752.016756,20.95,2012-01-02,True
2012-01-01T15:00:00Z,3941.369156,20.7,2012-01-02,True
2012-01-01T15:30:00Z,3776.118154,20.55,2012-01-02,True
2012-01-01T16:00:00Z,3601.350916,20.4,2012-01-02,True
2012-01-01T16:30:00Z,3490.138704,20.35,2012-01-02,True
2012-01-01T17:00:00Z,3433.902124,20.3,2012-01-02,True
2012-01-01T17:30:00Z,3416.64658,20.5,2012-01-02,True
2012-01-01T18:00:00Z,3437.95793,20.7,2012-01-02,True
2012-01-01T18:30:00Z,3430.715412,20.95,2012-01-02,True
2012-01-01T19:00:00Z,3488.721382,21.2,2012-01-02,True
2012-01-01T19:30:00Z,3572.151288,22.15,2012-01-02,True
2012-01-01T20:00:00Z,3746.740622,23.1,2012-01-02,True
2012-01-01T20:30:00Z,3936.300246,24.9,2012-01-02,True
2012-01-01T21:00:00Z,4097.803516,26.7,2012-01-02,True
2012-01-01T21:30:00Z,4328.535242,28.45,2012-01-02,True
2012-01-01T22:00:00Z,4600.146478,30.2,2012-01-02,True
2012-01-01T22:30:00Z,4865.516228,31.35,2012-01-02,True
2012-01-01T23:00:00Z,5136.096,32.5,2012-01-02,True
2012-01-01T23:30:00Z,5389.694676,33.15,2012-01-02,True
2012-01-02T00:00:00Z,5655.4751,33.8,2012-01-02,True
2012-01-02T00:30:00Z,5916.611734,35.2,2012-01-02,True
2012-01-02T01:00:00Z,6143.622836,36.6,2012-01-02,True
2012-01-02T01:30:00Z,6328.665498,36.85,2012-01-02,True
2012-01-02T02:00:00Z,6496.10842,37.1,2012-01-02,True
2012-01-02T02:30:00Z,6628.323336,37.1,2012-01-02,True
2012-01-02T03:00:00Z,6730.80916,37.1,2012-01-02,True
2012-01-02T03:30:00Z,6819.33039,37.7,2012-01-02,True
2012-01-02T04:00:00Z,6941.457822,38.3,2012-01-02,True
2012-01-02T04:30:00Z,7055.279186,38.75,2012-01-02,True
2012-01-02T05:00:00Z,7146.87121,39.2,2012-01-02,True
2012-01-02T05:30:00Z,7261.476696,39.4,2012-01-02,True
2012-01-02T06:00:00Z,7300.065136,39.6,2012-01-02,True
2012-01-02T06:30:00Z,7345.24889,39.45,2012-01-02,True
2012-01-02T07:00:00Z,7276.420116,39.3,2012-01-02,True
2012-01-02T07:30:00Z,7193.165394,38.85,2012-01-02,True
2012-01-02T08:00:00Z,7049.715348,38.4,2012-01-02,True
2012-01-02T08:30:00Z,6896.406916,37.35,2012-01-02,True
2012-01-02T09:00:00Z,6698.276592,36.3,2012-01-02,True
2012-01-02T09:30:00Z,6558.238362,35.35,2012-01-02,True
2012-01-02T10:00:00Z,6494.117476,34.4,2012-01-02,True
2012-01-02T10:30:00Z,6289.639912,33.65,2012-01-02,True
2012-01-02T11:00:00Z,5951.377222,32.9,2012-01-02,True
2012-01-02T11:30:00Z,5579.595596,32.65,2012-01-02,True
2012-01-02T12:00:00Z,5291.110508,32.4,2012-01-02,True
2012-01-02T12:30:00Z,5045.223022,32.1,2012-01-02,True
