Time,Demand,Temperature,Date,Holiday
2012-01-02T13:00:00Z,5066.210046,31.8,2012-01-03,False
2012-01-02T13:30:00Z,4850.603026,30.4,2012-01-03,False
2012-01-02T14:00:00Z,4552.951902,29.0,2012-01-03,False
2012-01-02T14:30:00Z,4345.78895,27.7,2012-01-03,False
2012-01-02T15:00:00Z,4518.874248,26.4,2012-01-03,False
2012-01-02T15:30:00Z,4326.124732,25.85,2012-01-03,False
2012-01-02T16:00:00Z,4095.6258,25.3,2012-01-03,False
2012-01-02T16:30:00Z,3959.46101,25.2,2012-01-03,False
2012-01-02T17:00:00Z,3896.461212,25.1,2012-01-03,False
2012-01-02T17:30:00Z,3863.83613,24.45,2012-01-03,False
2012-01-02T18:00:00Z,3913.937564,23.8,2012-01-03,False
2012-01-02T18:30:00Z,4000.222246,23.7,2012-01-03,False
2012-01-02T19:00:00Z,4167.29749,23.6,2012-01-03,False
2012-01-02T19:30:00Z,4369.865872,24.15,2012-01-03,False
2012-01-02T20:00:00Z,4717.27074,24.7,2012-01-03,False
2012-01-02T20:30:00Z,5041.621366,25.55,2012-01-03,False
2012-01-02T21:00:00Z,5281.011174,26.4,2012-01-03,False
2012-01-02T21:30:00Z,5636.488804,26.15,2012-01-03,False
2012-01-02T22:00:00Z,5969.598262,25.9,2012-01-03,False
2012-01-02T22:30:00Z,6067.696156,26.2,2012-01-03,False
2012-01-02T23:00:00Z,6276.943506,26.5,2012-01-03,False
2012-01-02T23:30:00Z,6480.466768,26.4,2012-01-03,False
2012-01-03T00:00:00Z,6632.24885,26.3,2012-01-03,False
2012-01-03T00:30:00Z,6766.72423,26.55,2012-01-03,False
2012-01-03T01:00:00Z,6896.623702,26.8,2012-01-03,False
2012-01-03T01:30:00Z,7000.039926,26.8,2012-01-03,False
2012-01-03T02:00:00Z,7057.821348,26.8,2012-01-03,False
2012-01-03T02:30:00Z,7065.063654,28.2,2012-01-03,False
2012-01-03T03:00:00Z,7052.804398,29.6,2012-01-03,False
2012-01-03T03:30:00Z,7065.234214,28.05,2012-01-03,False
2012-01-03T04:00:00Z,7024.425002,26.5,2012-01-03,False
2012-01-03T04:30:00Z,6916.37764,26.6,2012-01-03,False
2012-01-03T05:00:00Z,6862.57045,26.7,2012-01-03,False
2012-01-03T05:30:00Z,6836.889562,27.1,2012-01-03,False
2012-01-03T06:00:00Z,6730.440842,27.5,2012-01-03,False
2012-01-03T06:30:00Z,6595.39653,27.5,2012-01-03,False
2012-01-03T07:00:00Z,6314.105592,27.5,2012-01-03,False
2012-01-03T07:30:00Z,6138.758068,27.25,2012-01-03,False
2012-01-03T08:00:00Z,5902.226836,27.0,2012-01-03,False
2012-01-03T08:30:00Z,5714.647036,26.95,2012-01-03,False
2012-01-03T09:00:00Z,5571.70647,26.9,2012-01-03,False
2012-01-03T09:30:00Z,5519.851526,26.45,2012-01-03,False
2012-01-03T10:00:00Z,5496.262416,26.0,2012-01-03,False
2012-01-03T10:30:00Z,5361.060328,26.0,2012-01-03,False
2012-01-03T11:00:00Z,5121.240736,26.0,2012-01-03,False
2012-01-03T11:30:00Z,4861.97937,25.95,2012-01-03,False
2012-01-03T12:00:00Z,4665.505604,25.9,2012-01-03,False
2012-01-03T12:30:00Z,4530.244054,25.5,2012-01-03,False
